panel,evolution,curve,curve_r,n_data,N,M,panel_r_reservoir,R_panel,total_qubits_panel,C,Delta,delta_t,tau,gamma,t_over_tau,t,F
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.20833333333333334,134.10678437605844,0.9948293974691209
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.21000000000000002,135.1796386510669,0.9950426123758477
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.21166666666666667,136.25249292607538,0.9952470351551232
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.21333333333333335,137.32534720108384,0.9954430283590145
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.21500000000000002,138.3982014760923,0.9956309395893956
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.21666666666666667,139.47105575110078,0.9958111021144335
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.21833333333333335,140.54391002610924,0.9959838354596529
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.22,141.6167643011177,0.9961494459746277
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.22166666666666668,142.68961857612618,0.9963082273763044
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.22333333333333336,143.76247285113465,0.9964604612699206
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.225,144.8353271261431,0.9966064176484437
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.22666666666666668,145.90818140115158,0.9967463553714141
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.22833333333333333,146.98103567616005,0.9968805226240434
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.23,148.05388995116851,0.9970091573573803
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.23166666666666666,149.12674422617698,0.9971324877103269
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.23333333333333334,150.19959850118545,0.9972507324142524
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.23500000000000001,151.27245277619392,0.9973641011809216
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.23666666666666666,152.34530705120238,0.9974727950744271
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.23833333333333334,153.41816132621085,0.9975770068677853
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.24,154.49101560121932,0.9976769213848264
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.24166666666666667,155.56386987622778,0.9977727158279875
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.24333333333333335,156.63672415123625,0.997864560092588
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.245,157.70957842624472,0.9979526170681454
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.24666666666666667,158.78243270125319,0.9980370429272677
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.24833333333333332,159.85528697626165,0.9981179874026304
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.25,160.92814125127012,0.9981955940525344
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.25166666666666665,162.0009955262786,0.9982700005155121
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.25333333333333335,163.07384980128705,0.9983413387544348
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.255,164.14670407629552,0.9984097352905545
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.25666666666666665,165.219558351304,0.9984753114278945
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2583333333333333,166.29241262631245,0.9985381834683864
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.26,167.36526690132092,0.9985984629181368
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.26166666666666666,168.4381211763294,0.9986562566851879
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2633333333333333,169.51097545133786,0.998711667269123
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.265,170.58382972634632,0.9987647929428537
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.26666666666666666,171.6566840013548,0.9988157279269112
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.26833333333333337,172.7295382763633,0.9988645625565495
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.27,173.80239255137175,0.9989113834419596
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2716666666666667,174.87524682638022,0.9989562736218753
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2733333333333334,175.9481011013887,0.9989993127108463
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.275,177.02095537639715,0.9990405770404375
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2766666666666667,178.09380965140562,0.9990801397946064
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2783333333333334,179.1666639264141,0.9991180711394978
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.28,180.23951820142256,0.9991544383478856
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2816666666666667,181.31237247643102,0.9991893059184851
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2833333333333334,182.3852267514395,0.9992227356903428
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.28500000000000003,183.45808102644796,0.9992547869525111
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2866666666666667,184.53093530145642,0.9992855165492
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2883333333333334,185.6037895764649,0.9993149789805917
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.29000000000000004,186.67664385147336,0.9993432264995001
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2916666666666667,187.74949812648183,0.9993703092040425
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.29333333333333333,188.8223524014903,0.9993962751264905
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.29500000000000004,189.89520667649876,0.9994211703184581
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2966666666666667,190.96806095150723,0.9994450389325749
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.29833333333333334,192.0409152265157,0.9994679233007933
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.30000000000000004,193.11376950152416,0.999489864009466
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.3016666666666667,194.18662377653263,0.9995108999713274
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.30333333333333334,195.2594780515411,0.9995310684945063
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.30500000000000005,196.33233232654956,0.9995504053486947
