record_type,n_data,N,sqrtN,M,r,R,C,delta_mode,Delta,tau,gamma,target,t,t_over_sqrtN,t_over_tau,F_exact,F_BJ,t_solution_exact,t_solution_BJ,fit_slope_through_origin
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,747.0212383835159,11.672206849742436,0.9227689741451209,0.9998608089314742,0.9999015223617047,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,747.8314566464047,11.684866510100074,0.9237698081734779,0.9998808637228606,0.9999025028055049,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,748.6416749092936,11.697526170457712,0.9247706422018348,0.9998998840350853,0.9999034734880023,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,749.4518931721824,11.71018583081535,0.9257714762301917,0.9999176939472892,0.9999044345063804,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,750.2621114350712,11.722845491172988,0.9267723102585488,0.999934125479631,0.9999053859568555,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,751.0723296979601,11.735505151530626,0.9277731442869057,0.9999490204963355,0.9999063279346854,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,751.8825479608489,11.748164811888264,0.9287739783152626,0.9999622325865454,0.9999072605341798,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,752.6927662237377,11.760824472245902,0.9297748123436196,0.9999736289039942,0.9999081838487096,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,753.5029844866266,11.77348413260354,0.9307756463719765,0.9999830919460144,0.9999090979707158,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,754.3132027495154,11.786143792961179,0.9317764804003336,0.9999905212520428,0.9999100029917194,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,755.1234210124043,11.798803453318817,0.9327773144286905,0.9999958350015589,0.9999108990023298,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,755.9336392752931,11.811463113676455,0.9337781484570474,0.9999989714913212,0.9999117860922546,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,756.7438575381819,11.824122774034093,0.9347789824854044,0.9999998904718415,0.9999126643503083,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,757.5540758010708,11.836782434391731,0.9357798165137613,0.9999985743232902,0.999913533864421,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,758.3642940639596,11.849442094749369,0.9367806505421183,0.9999950290514127,0.9999143947216472,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,759.1745123268485,11.862101755107007,0.9377814845704753,0.9999892850845896,0.9999152470081752,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,759.9847305897374,11.874761415464647,0.9387823185988323,0.9999813978539301,0.9999160908093347,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,760.7949488526262,11.887421075822285,0.9397831526271893,0.999971448139121,0.9999169262096063,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,761.6051671155151,11.900080736179923,0.9407839866555463,0.9999595421638469,0.9999177532926289,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,762.4153853784039,11.912740396537561,0.9417848206839032,0.9999458114257604,0.9999185721412094,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,763.2256036412928,11.9254000568952,0.9427856547122602,0.9999304122473658,0.9999193828373298,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,764.0358219041816,11.938059717252838,0.9437864887406171,0.9999135250356395,0.9999201854621561,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,764.8460401670704,11.950719377610476,0.944787322768974,0.999895353239898,0.9999209800960461,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,765.6562584299593,11.963379037968114,0.9457881567973311,0.9998761219991412,0.9999217668185576,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,766.4664766928481,11.976038698325752,0.946788990825688,0.9998560764720481,0.9999225457084562,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,767.276694955737,11.98869835868339,0.947789824854045,0.9998354798447591,0.9999233168437236,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,768.0869132186258,12.001358019041028,0.9487906588824019,0.9998146110137118,0.999924080301565,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,768.8971314815146,12.014017679398666,0.9497914929107588,0.9997937619429975,0.9999248361584167,357.0776195278951,372.87963450946785,
